Message,Category,cleaned_message
Your package with tracking ID 554249 has been shipped.,Transactional,your package with tracking id 554249 has been shipped
Your transaction ID is TXN499422. Please keep it for your records.,Transactional,your transaction id is txn499422 please keep it for your records
Your payment of ₹7751 was successful.,Transactional,your payment of 7751 was successful
Your payment of ₹1771 was successful.,Transactional,your payment of 1771 was successful
Your transaction ID is TXN493798. Please keep it for your records.,Transactional,your transaction id is txn493798 please keep it for your records
Your package with tracking ID 381002 has been shipped.,Transactional,your package with tracking id 381002 has been shipped
Your package with tracking ID 281420 has been shipped.,Transactional,your package with tracking id 281420 has been shipped
Your package with tracking ID 841589 has been shipped.,Transactional,your package with tracking id 841589 has been shipped
Your package with tracking ID 341926 has been shipped.,Transactional,your package with tracking id 341926 has been shipped
Your package with tracking ID 425993 has been shipped.,Transactional,your package with tracking id 425993 has been shipped
Your package with tracking ID 738791 has been shipped.,Transactional,your package with tracking id 738791 has been shipped
Your transaction ID is TXN624289. Please keep it for your records.,Transactional,your transaction id is txn624289 please keep it for your records
Your transaction ID is TXN546130. Please keep it for your records.,Transactional,your transaction id is txn546130 please keep it for your records
Your transaction ID is TXN833421. Please keep it for your records.,Transactional,your transaction id is txn833421 please keep it for your records
Your OTP is 203714. Do not share it with anyone.,Transactional,your otp is 203714 do not share it with anyone
Your transaction ID is TXN693521. Please keep it for your records.,Transactional,your transaction id is txn693521 please keep it for your records
Your package with tracking ID 298572 has been shipped.,Transactional,your package with tracking id 298572 has been shipped
Your package with tracking ID 883051 has been shipped.,Transactional,your package with tracking id 883051 has been shipped
Your payment of ₹3357 was successful.,Transactional,your payment of 3357 was successful
Your transaction ID is TXN260225. Please keep it for your records.,Transactional,your transaction id is txn260225 please keep it for your records
Your payment of ₹444 was successful.,Transactional,your payment of 444 was successful
Your transaction ID is TXN879200. Please keep it for your records.,Transactional,your transaction id is txn879200 please keep it for your records
Your transaction ID is TXN770157. Please keep it for your records.,Transactional,your transaction id is txn770157 please keep it for your records
Your OTP is 843610. Do not share it with anyone.,Transactional,your otp is 843610 do not share it with anyone
Your transaction ID is TXN429990. Please keep it for your records.,Transactional,your transaction id is txn429990 please keep it for your records
Your OTP is 326298. Do not share it with anyone.,Transactional,your otp is 326298 do not share it with anyone
Your payment of ₹4764 was successful.,Transactional,your payment of 4764 was successful
Your OTP is 512331. Do not share it with anyone.,Transactional,your otp is 512331 do not share it with anyone
Your transaction ID is TXN439208. Please keep it for your records.,Transactional,your transaction id is txn439208 please keep it for your records
Your package with tracking ID 182244 has been shipped.,Transactional,your package with tracking id 182244 has been shipped
Your transaction ID is TXN896436. Please keep it for your records.,Transactional,your transaction id is txn896436 please keep it for your records
Your transaction ID is TXN461747. Please keep it for your records.,Transactional,your transaction id is txn461747 please keep it for your records
Your payment of ₹5055 was successful.,Transactional,your payment of 5055 was successful
Your payment of ₹4889 was successful.,Transactional,your payment of 4889 was successful
Your payment of ₹1642 was successful.,Transactional,your payment of 1642 was successful
Your OTP is 725606. Do not share it with anyone.,Transactional,your otp is 725606 do not share it with anyone
Your transaction ID is TXN161184. Please keep it for your records.,Transactional,your transaction id is txn161184 please keep it for your records
Your OTP is 273287. Do not share it with anyone.,Transactional,your otp is 273287 do not share it with anyone
Your OTP is 562502. Do not share it with anyone.,Transactional,your otp is 562502 do not share it with anyone
Your OTP is 586744. Do not share it with anyone.,Transactional,your otp is 586744 do not share it with anyone
Your transaction ID is TXN668239. Please keep it for your records.,Transactional,your transaction id is txn668239 please keep it for your records
Your payment of ₹9592 was successful.,Transactional,your payment of 9592 was successful
Your OTP is 979202. Do not share it with anyone.,Transactional,your otp is 979202 do not share it with anyone
Your payment of ₹8247 was successful.,Transactional,your payment of 8247 was successful
Your package with tracking ID 926531 has been shipped.,Transactional,your package with tracking id 926531 has been shipped
